index,brewery_id,beer_beerid,review_profilename,review_taste,user_idx,item_idx,predicted_taste
1011874,143,1352,1099,4.0,17,682,3.070558131794774
326714,447,1719,1099,3.0,17,886,2.9736917990863065
325202,447,1731,1099,2.5,17,898,1.7167600602479538
104859,655,1798,1099,4.0,17,931,3.043442182786635
655805,57,1907,1099,3.0,17,978,3.5688416937045715
691270,252,35625,05Harley,4.5,4,18252,4.593800265511907
994359,15237,38334,05Harley,4.5,4,19646,4.476644484144354
800782,18149,38530,05Harley,4.0,4,19743,4.385633236289222
775590,42,38818,05Harley,3.5,4,19913,4.144820102077132
915551,6045,40164,05Harley,3.5,4,20650,4.298590881398608
639744,30,1490,100floods,3.5,12,753,4.040136247988269
164605,610,1658,100floods,4.0,12,849,4.045185787589467
846013,72,1934,100floods,4.0,12,991,4.2410503510443025
424691,697,2013,100floods,4.5,12,1050,3.797918708826745
968500,222,2566,100floods,3.0,12,1320,3.8140730394661086
195255,1627,4557,1759Girl,4.0,36,2306,3.5118072525241764
550735,1306,4702,1759Girl,4.0,36,2395,3.141722112676953
75198,140,5436,1759Girl,3.0,36,2833,4.749583554521454
576123,2210,5643,1759Girl,3.5,36,2974,4.381834739744329
849203,562,5655,1759Girl,4.0,36,2981,3.3551261984228455
722552,689,24403,1fastz28,4.0,55,12469,3.4908839393771016
548199,583,25044,1fastz28,3.5,55,12812,3.895481728123806
750688,148,25989,1fastz28,4.5,55,13310,3.901969320612917
315194,35,34832,1fastz28,4.0,55,17855,3.6576039783281185
303611,35,34833,1fastz28,4.5,55,17856,4.0760506375803915
447595,590,1585,2xHops,4.5,101,812,4.298761387044256
85632,140,1904,2xHops,4.0,101,975,3.9635877817763236
984006,751,2296,2xHops,3.5,101,1170,3.702100229693217
968479,222,2566,2xHops,4.0,101,1320,4.018978961091097
646728,30,2729,2xHops,3.5,101,1410,4.069425584323775
913933,6045,42930,321jeff,5.0,107,22255,4.369696418995207
858606,13307,69543,321jeff,4.5,107,37803,3.5098448988030597
30501,1199,55900,321jeff,4.0,107,29700,4.60299982542968
378489,27039,16814,321jeff,5.0,107,8595,5.129885142081555
802812,18149,60886,321jeff,4.0,107,32561,4.560470050277704
464987,392,23555,Backer2004,3.5,888,12038,3.692143320896438
66263,161,18290,Backer2004,4.0,888,9342,3.3707372985481032
65919,161,2350,Backer2004,3.5,888,1207,3.171868112411312
77880,140,2671,Backer2004,5.0,888,1377,4.255105426430827
6980,3282,8422,Backer2004,3.5,888,4536,4.176107820115493
330029,1168,11482,baconsausage,4.5,12568,5982,3.673440794051756
16273,1199,47658,baconsausage,3.0,12568,24996,4.032839334340597
481630,388,47088,baconsausage,4.0,12568,24636,4.444066691928903
829494,267,63543,baconsausage,3.5,12568,34157,3.3185095304962604
732831,1170,45334,baconsausage,2.5,12568,23626,3.4975987675992144
303236,35,108,becktone,3.5,12837,53,3.019124517684305
553862,467,2782,becktone,4.0,12837,1440,3.567358200087848
606507,4110,8708,becktone,3.5,12837,4673,3.259039916747245
554898,467,38467,becktone,3.0,12837,19707,3.567920047889564
1003598,10991,36688,becktone,3.5,12837,18825,3.887522603452424
917591,160,236,Boilermaker88,3.5,1730,125,3.5679790000188603
906156,142,1944,Boilermaker88,4.0,1730,996,3.5880129310965176
436472,1498,25625,Boilermaker88,3.0,1730,13107,3.409044841099829
1023590,353,4308,Boilermaker88,3.0,1730,2215,1.8325130848021776
1024059,353,3998,Boilermaker88,2.5,1730,2042,2.291873413736637
472907,392,1566,dasenebler,3.5,15651,802,3.726979177974696
656824,57,1283,dasenebler,4.0,15651,644,3.5955711836162734
996441,15237,36198,dasenebler,5.0,15651,18550,3.9215733187731767
579350,2210,50697,dasenebler,4.5,15651,26779,4.224057407346622
456185,23922,65518,dasenebler,3.5,15651,35362,3.2896483670935703
127737,877,3967,EStreet20,3.0,3668,2019,3.131867256278462
391082,3,6,EStreet20,4.0,3668,3,3.5412329842244383
442029,1646,5451,EStreet20,3.0,3668,2847,3.57971530736173
822336,400,2532,EStreet20,4.0,3668,1299,3.3830198959607114
158025,3818,36179,EStreet20,4.5,3668,18541,4.00320197254779
601386,1549,53980,JoeyBeerBelly,4.0,5891,28578,4.535569280447259
515723,113,576,JoeyBeerBelly,4.5,5891,306,4.414759637745751
367999,22,694,JoeyBeerBelly,4.0,5891,363,4.401399195745701
636157,30,2894,JoeyBeerBelly,4.0,5891,1499,4.254710997847753
610421,106,44315,JoeyBeerBelly,3.5,5891,23059,3.941011461115282
