User ID,Book's ISBN,Book's Title,Model's Calculated Value
11676,590353403,Harry Potter and the Sorcerer s Stone (Book 1),0.34640414495116123
11676,385722206,Balzac and the Little Chinese Seamstress,0.314496702955968
11676,345337662,Interview with the Vampire,0.3012226793721714
11676,1400034779,The No. 1 Ladies  Detective Agency (Today Show Book Club #8),0.2917263024520202
11676,014028009X,Bridget Jones s Diary,0.2867802853609907
11676,316769487,The Catcher in the Rye,0.28002992005770794
11676,375726403,Empire Falls,0.2766891824305905
11676,439064872,Harry Potter and the Chamber of Secrets (Book 2),0.2702181137995021
11676,60987103,Wicked: The Life and Times of the Wicked Witch of the West,0.2638819898696825
11676,60959037,Prodigal Summer,0.26233914075424564
16795,043935806X,Harry Potter and the Order of the Phoenix (Book 5),0.10720108453073801
16795,014028009X,Bridget Jones s Diary,0.09402167354270717
16795,316569321,White Oleander : A Novel,0.0901762392468879
16795,440214041,The Pelican Brief,0.08459272536316913
16795,385335482,Confessions of a Shopaholic (Summer Display Opportunity),0.08164586121618778
16795,316096199,Lucky : A Memoir,0.08098390633316228
16795,446310786,To Kill a Mockingbird,0.08061944096321463
16795,316769487,The Catcher in the Rye,0.07884565728879414
16795,345337662,Interview with the Vampire,0.0741486406124837
16795,61009059,One for the Money (Stephanie Plum Novels (Paperback)),0.07128132894426088
22625,590353403,Harry Potter and the Sorcerer s Stone (Book 1),0.36948293057465015
22625,439064872,Harry Potter and the Chamber of Secrets (Book 2),0.2728726345493047
22625,385722206,Balzac and the Little Chinese Seamstress,0.2677684789952468
22625,014028009X,Bridget Jones s Diary,0.24893776710505616
22625,385335482,Confessions of a Shopaholic (Summer Display Opportunity),0.24869677814576732
22625,439139600,Harry Potter and the Goblet of Fire (Book 4),0.24293945237685938
22625,440213525,The Client,0.2367879680410261
22625,316569321,White Oleander : A Novel,0.23648380409531244
22625,61009059,One for the Money (Stephanie Plum Novels (Paperback)),0.23603671728204229
22625,142001740,The Secret Life of Bees,0.23501394199766185
35859,590353403,Harry Potter and the Sorcerer s Stone (Book 1),0.433278183094974
35859,440213525,The Client,0.2885761432059119
35859,440224764,The Partner,0.28355142461631533
35859,316769487,The Catcher in the Rye,0.24778585466235822
35859,345337662,Interview with the Vampire,0.23084462478801612
35859,439064864,Harry Potter and the Chamber of Secrets (Book 2),0.23008962447789116
35859,439136350,Harry Potter and the Prisoner of Azkaban (Book 3),0.22868252423332777
35859,1400034779,The No. 1 Ladies  Detective Agency (Today Show Book Club #8),0.22857995524440516
35859,014028009X,Bridget Jones s Diary,0.2276431392113179
35859,385722206,Balzac and the Little Chinese Seamstress,0.2239132745780871
95359,60987103,Wicked: The Life and Times of the Wicked Witch of the West,0.2885291562233704
95359,380789035,American Gods,0.28008052212345363
95359,385722206,Balzac and the Little Chinese Seamstress,0.2781905780272511
95359,345337662,Interview with the Vampire,0.2588579951223686
95359,1400034779,The No. 1 Ladies  Detective Agency (Today Show Book Club #8),0.2485962686092204
95359,014028009X,Bridget Jones s Diary,0.23348846128175013
95359,059035342X,Harry Potter and the Sorcerer s Stone (Harry Potter (Paperback)),0.2249625004585474
95359,60915544,The Bean Trees,0.22304853576424624
95359,312195516,The Red Tent (Bestselling Backlist),0.22156380750929383
95359,449005615,Seabiscuit: An American Legend,0.2196717873606418
104636,590353403,Harry Potter and the Sorcerer s Stone (Book 1),0.479841058542476
104636,439136350,Harry Potter and the Prisoner of Azkaban (Book 3),0.33083918915558447
104636,043935806X,Harry Potter and the Order of the Phoenix (Book 5),0.31932773542523424
104636,439064864,Harry Potter and the Chamber of Secrets (Book 2),0.2648890258624871
104636,440213525,The Client,0.25839999370504524
104636,440224764,The Partner,0.2568995031278315
104636,446608955,A Walk to Remember,0.24270993392183918
104636,385722206,Balzac and the Little Chinese Seamstress,0.2369861229080631
104636,014028009X,Bridget Jones s Diary,0.227338824998216
104636,316769487,The Catcher in the Rye,0.2129988131190932
110912,60987103,Wicked: The Life and Times of the Wicked Witch of the West,0.29220254791667793
110912,380789035,American Gods,0.28880095380882986
110912,345337662,Interview with the Vampire,0.2851562197857734
110912,316769487,The Catcher in the Rye,0.2735087916051267
110912,375726403,Empire Falls,0.2729997665453897
110912,439139600,Harry Potter and the Goblet of Fire (Book 4),0.2723634603966046
110912,059035342X,Harry Potter and the Sorcerer s Stone (Harry Potter (Paperback)),0.26785286526865215
110912,590353403,Harry Potter and the Sorcerer s Stone (Book 1),0.26446106212361337
110912,60959037,Prodigal Summer,0.26301479089716195
110912,679746048,Girl Interrupted,0.2524567347888838
204864,385722206,Balzac and the Little Chinese Seamstress,0.31396974826695634
204864,345337662,Interview with the Vampire,0.29110248790054083
204864,1400034779,The No. 1 Ladies  Detective Agency (Today Show Book Club #8),0.2815194798238168
204864,684872153,Angela s Ashes (MMP) : A Memoir,0.2721180299523704
204864,375726403,Empire Falls,0.2578968823272171
204864,60987103,Wicked: The Life and Times of the Wicked Witch of the West,0.25522016789117646
204864,440224764,The Partner,0.24340357969196544
204864,059035342X,Harry Potter and the Sorcerer s Stone (Harry Potter (Paperback)),0.24243495539131465
204864,044021145X,The Firm,0.23993399224045686
204864,375725784,A Heartbreaking Work of Staggering Genius,0.2389075824473659
271448,312278586,The Nanny Diaries,0.4603137806646098
271448,316569321,White Oleander : A Novel,0.24606054909322295
271448,440214041,The Pelican Brief,0.23697726623322304
271448,142001740,The Secret Life of Bees,0.23269596266616005
271448,312195516,The Red Tent (Bestselling Backlist),0.22914863466731916
271448,044021145X,The Firm,0.2245675143741399
271448,014028009X,Bridget Jones s Diary,0.22173516897079967
271448,059035342X,Harry Potter and the Sorcerer s Stone (Harry Potter (Paperback)),0.22056320816552885
271448,590353403,Harry Potter and the Sorcerer s Stone (Book 1),0.2195696451414627
271448,60959037,Prodigal Summer,0.21558518567902912
